endereco,valor,area,iptu,condominio,quarto,vaga,banheiro,bairro,tipo,area_servico,espaco_gourmet,piscina,elevador,salao_de_festa,academia,playground,quadra_de_esporte,portaria_24_horas,varanda_gourmet,sauna,spa,comercio,latitude,longitude
Rua Governador Francisco Mello,950000,200,11,370,3,2,3,antares,casas,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,-9.66647999999998,-35.73495
Rua Projetada 930,320000,250,1500,100,3,1,2,antares,casas_de_condominio,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.61374999471649,-35.7325399740285
Rua S,265000,90,NA,NA,2,1,2,antares,casas_de_condominio,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.65468379522651,-35.7617248172877
Loteamento Vert Paradiso,650000,155,2000,480,3,2,3,antares,casas_de_condominio,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.66647999999998,-35.73495
Rua Governador Francisco Mello,750000,200,NA,NA,3,2,2,antares,casas_de_condominio,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.66647999999998,-35.73495
Rua João Correia da Costa,810000,360,NA,485,4,2,1,antares,casas_de_condominio,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.62637233647392,-35.7497024051658
Rua Governador Francisco Mello,692000,200,NA,NA,4,5,2,antares,casas_de_condominio,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-9.66647999999998,-35.73495
Avenida Deputada Selma Bandeira,280000,78,800,400,2,2,3,antares,casas_de_condominio,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.62778810299777,-35.7107735994409
Avenida Menino Marcelo,680000,154,1134,515,3,1,2,antares,casas_de_condominio,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.6150000088918,-35.7175799951505
Rua Governador Francisco Mello,920000,200,NA,300,3,4,3,antares,casas_de_condominio,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.66647999999998,-35.73495
Avenida Menino Marcelo,470000,90,NA,300,3,1,2,antares,casas_de_condominio,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.6150000088918,-35.7175799951505
Rua Maria Salete de Araújo Oliveira,350000,100,900,200,3,10,2,antares,casas_de_condominio,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.66647999999998,-35.73495
